y;yhat;yprobs;data;model;Temperature;k_selected;N_train;model_class;n_tokens;x
1599.4;677.74;0.1093;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.787C0.000474Mn0.000207Si0.000203Cr0.000109Ni0.176Mo0.0181V0.000112Nb0.0000612Co0.0000965Al0.00190Ti0.0150
1599.4;975.13;0.2201;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.787C0.000474Mn0.000207Si0.000203Cr0.000109Ni0.176Mo0.0181V0.000112Nb0.0000612Co0.0000965Al0.00190Ti0.0150
1599.4;1019.7;0.6061;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.787C0.000474Mn0.000207Si0.000203Cr0.000109Ni0.176Mo0.0181V0.000112Nb0.0000612Co0.0000965Al0.00190Ti0.0150
1599.4;828.32;0.0646;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.787C0.000474Mn0.000207Si0.000203Cr0.000109Ni0.176Mo0.0181V0.000112Nb0.0000612Co0.0000965Al0.00190Ti0.0150
1688.1;1716.3;0.1454;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.811C0.0182Mn0.00225Si0.000200Cr0.0755Ni0.0000957Mo0.0337V0.0119Nb0.0000605Co0.0467Al0.000625
1688.1;2192.42;0.3732;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.811C0.0182Mn0.00225Si0.000200Cr0.0755Ni0.0000957Mo0.0337V0.0119Nb0.0000605Co0.0467Al0.000625
1688.1;4680.11;0.1241;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.811C0.0182Mn0.00225Si0.000200Cr0.0755Ni0.0000957Mo0.0337V0.0119Nb0.0000605Co0.0467Al0.000625
1688.1;2992.05;0.3573;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.811C0.0182Mn0.00225Si0.000200Cr0.0755Ni0.0000957Mo0.0337V0.0119Nb0.0000605Co0.0467Al0.000625
1194.0;592.92;0.0763;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.763C0.000466Mn0.000509Si0.000398Cr0.114Ni0.101Mo0.0120V0.000110Nb0.0000602Co0.0000949Al0.00746Ti0.000935
1194.0;692.92;0.4373;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.763C0.000466Mn0.000509Si0.000398Cr0.114Ni0.101Mo0.0120V0.000110Nb0.0000602Co0.0000949Al0.00746Ti0.000935
1194.0;392.92;0.2587;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.763C0.000466Mn0.000509Si0.000398Cr0.114Ni0.101Mo0.0120V0.000110Nb0.0000602Co0.0000949Al0.00746Ti0.000935
1194.0;292.92;0.2278;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.763C0.000466Mn0.000509Si0.000398Cr0.114Ni0.101Mo0.0120V0.000110Nb0.0000602Co0.0000949Al0.00746Ti0.000935
1305.4;992.92;0.1668;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.758C0.00185Mn0.000101Si0.000198Cr0.132Ni0.0780Mo0.0127V0.000109Nb0.0000597Co0.0000942Al0.0167Ti0.000348
1305.4;1692.92;0.3861;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.758C0.00185Mn0.000101Si0.000198Cr0.132Ni0.0780Mo0.0127V0.000109Nb0.0000597Co0.0000942Al0.0167Ti0.000348
1305.4;792.92;0.3863;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.758C0.00185Mn0.000101Si0.000198Cr0.132Ni0.0780Mo0.0127V0.000109Nb0.0000597Co0.0000942Al0.0167Ti0.000348
1305.4;592.92;0.0607;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.758C0.00185Mn0.000101Si0.000198Cr0.132Ni0.0780Mo0.0127V0.000109Nb0.0000597Co0.0000942Al0.0167Ti0.000348
1550.3;1019.7;0.2896;alloy;text-curie-001;0.05;5;249;multi;43408;Fe0.666C0.00751Mn0.000103Si0.000201Cr0.155Ni0.0000960Mo0.0299V0.00963N0.00161Nb0.0000607Co0.129Al0.00104
