f1_identifier,formula,f1-vdw_rad,efermi,formula2,f2_vdw_rad,efermi-2,f2_identifier,atoms,distance_d,Δn,prompt,completion
mvc-2884,ZnWO2,1.52,5.67,Te2Pt,0,4.23,mp-399,337.0,1.52,-1.61,"An interface between ZnWO2 (Fermi level: 5.67 meV) and Te2Pt (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.4762
mp-1072113,NbSe2,2.2,5.67,U(PO3)4,1.8,4.23,mp-27615,404.0,4,-2.19,"An interface between NbSe2 (Fermi level: 5.67 meV) and U(PO3)4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7839
mp-1184959,KSrO3,2.75,5.67,Zr3Se2,2.25,4.23,mp-1215426,425.0,5,-3.46,"An interface between KSrO3 (Fermi level: 5.67 meV) and Zr3Se2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.2413
mp-760161,Na2(NiO2)5,2.27,5.67,TiS2,2.0,4.23,mp-1101258,299.0,4.27,-0.127,"An interface between Na2(NiO2)5 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.27 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-2.0636
mp-35236,Ga2NiO4,1.97,5.67,MoS2,2.1,4.23,mp-1434,164.0,4.07,-0.539,"An interface between Ga2NiO4 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.07 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.6180
mp-20641,MnCoO3,2.05,5.67,TaSe2,1.9,4.23,mp-637232,388.0,3.95,-0.0725,"An interface between MnCoO3 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-2.6242
mp-625230,Zn(HO)2,1.52,5.67,ZrSe2,2.25,4.23,mp-2076,435.0,3.77,-2.4,"An interface between Zn(HO)2 (Fermi level: 5.67 meV) and ZrSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.77 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.8755
mp-752527,Li(FeO2)3,2.0,5.67,NbSe2,2.2,4.23,mp-571133,364.0,4.2,-1.21,"An interface between Li(FeO2)3 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.1906
mp-753846,Mg(GaO2)2,1.87,5.67,Zr3S2,2.25,4.23,mp-1215419,444.0,4.12,-2.82,"An interface between Mg(GaO2)2 (Fermi level: 5.67 meV) and Zr3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.12 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0367
mp-1027525,MoS2,2.1,5.67,KAl11O17,2.75,4.23,mp-760755,452.0,4.85,1.92e+03,"An interface between MoS2 (Fermi level: 5.67 meV) and KAl11O17 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",7.5601
mp-637232,TaSe2,1.9,5.67,CeFeO3,2.0,4.23,mp-756062,404.0,3.9,-2.12,"An interface between TaSe2 (Fermi level: 5.67 meV) and CeFeO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7514
mp-505009,Fe(SbO3)2,2.0,5.67,MoS2,2.1,4.23,mp-2815,270.0,4.1,-2.18,"An interface between Fe(SbO3)2 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7793
