y;yhat;yprobs;data;model;Temperature;k_selected;N_train;model_class;n_tokens;x
-3.55;-3.66;0.2173;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2,2-dimethylbutane
-3.55;-0.8;0.3914;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2,2-dimethylbutane
-3.55;-3.66;0.2173;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2,2-dimethylbutane
-3.55;-2.66;0.174;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2,2-dimethylbutane
-3.48;-3.66;0.2494;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;1,2-dichloro-3-nitrobenzene
-3.48;-2.66;0.167;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;1,2-dichloro-3-nitrobenzene
-3.48;-3.66;0.2494;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;1,2-dichloro-3-nitrobenzene
-3.48;-2.66;0.167;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;1,2-dichloro-3-nitrobenzene
-3.48;-2.66;0.167;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;1,2-dichloro-3-nitrobenzene
-5.47;-3.8;0.1782;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;3-N,3-N-diethyl-2,4-dinitro-6-(trifluoromethyl)benzene-1,3-diamine
-5.47;-2.8;0.2055;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;3-N,3-N-diethyl-2,4-dinitro-6-(trifluoromethyl)benzene-1,3-diamine
-5.47;-2.8;0.2055;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;3-N,3-N-diethyl-2,4-dinitro-6-(trifluoromethyl)benzene-1,3-diamine
-5.47;-2.8;0.2055;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;3-N,3-N-diethyl-2,4-dinitro-6-(trifluoromethyl)benzene-1,3-diamine
-5.47;-2.8;0.2055;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;3-N,3-N-diethyl-2,4-dinitro-6-(trifluoromethyl)benzene-1,3-diamine
-1.08;-3.66;0.1973;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2-methylhexan-2-ol
-1.08;-2.66;0.2107;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2-methylhexan-2-ol
-1.08;-3.66;0.1973;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2-methylhexan-2-ol
-1.08;-3.66;0.1973;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2-methylhexan-2-ol
-1.08;-3.66;0.1973;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2-methylhexan-2-ol
-0.83;-2.66;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;3-prop-2-enylsulfinylsulfanylprop-1-ene
-0.83;-2.66;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;3-prop-2-enylsulfinylsulfanylprop-1-ene
-0.83;-2.66;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;3-prop-2-enylsulfinylsulfanylprop-1-ene
-0.83;-2.66;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;3-prop-2-enylsulfinylsulfanylprop-1-ene
-0.83;-2.66;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;3-prop-2-enylsulfinylsulfanylprop-1-ene
-2.64;-2.66;0.3201;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2,3,6-trichlorophenol
-2.64;-3.66;0.3598;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2,3,6-trichlorophenol
-2.64;-2.66;0.3201;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2,3,6-trichlorophenol
-4.24;-2.3;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;(3,5-ditert-butylphenyl) N-methylcarbamate
-4.24;-2.8;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;(3,5-ditert-butylphenyl) N-methylcarbamate
-4.24;-2.8;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;(3,5-ditert-butylphenyl) N-methylcarbamate
-4.24;-2.8;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;(3,5-ditert-butylphenyl) N-methylcarbamate
-4.24;-2.8;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;(3,5-ditert-butylphenyl) N-methylcarbamate
-2.32;-2.8;0.113;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol
-2.32;-3.8;0.2218;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol
-2.32;-3.8;0.2218;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol
-2.32;-3.8;0.2218;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol
-2.32;-3.8;0.2218;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol
-2.692;-2.3;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;N-(4-nitrophenyl)acetamide
-2.692;-2.8;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;N-(4-nitrophenyl)acetamide
-2.692;-2.3;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;N-(4-nitrophenyl)acetamide
-2.692;-2.3;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;N-(4-nitrophenyl)acetamide
-2.692;-2.3;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;N-(4-nitrophenyl)acetamide
-4.735;-2.8;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;ethyl 3-(1-phenylethyl)imidazole-4-carboxylate
-4.735;-2.8;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;ethyl 3-(1-phenylethyl)imidazole-4-carboxylate
-4.735;-2.8;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;ethyl 3-(1-phenylethyl)imidazole-4-carboxylate
-4.735;-2.8;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;ethyl 3-(1-phenylethyl)imidazole-4-carboxylate
-4.735;-2.8;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;ethyl 3-(1-phenylethyl)imidazole-4-carboxylate
-3.39;-2.66;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2-chloroprop-2-enyl N,N-diethylcarbamodithioate
-3.39;-2.66;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2-chloroprop-2-enyl N,N-diethylcarbamodithioate
-3.39;-2.66;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2-chloroprop-2-enyl N,N-diethylcarbamodithioate
-3.39;-2.66;0.2;iupac-sol;ada:ft-white-research-laboratory-2023-02-28-19-10-21;0.05;0;50;finetune;9067;2-chloroprop-2-enyl N,N-diethylcarbamodithioate
