y;yhat;yprobs;data;model;Temperature;k_selected;N_train;model_class;n_tokens;x
5.85;1.8;0.2371;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Mn-WOx/SiO2 , SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn ( 0.376 mol) , n.a. ( 0.0 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 775 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 14.6 mL/min, O2: 2.4 mL/min), leading to a contact time of 0.38 s.
5.85;0.0;0.5219;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Mn-WOx/SiO2 , SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn ( 0.376 mol) , n.a. ( 0.0 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 775 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 14.6 mL/min, O2: 2.4 mL/min), leading to a contact time of 0.38 s.
5.85;3.2;0.1325;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Mn-WOx/SiO2 , SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn ( 0.376 mol) , n.a. ( 0.0 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 775 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 14.6 mL/min, O2: 2.4 mL/min), leading to a contact time of 0.38 s.
5.85;6.4;0.1085;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Mn-WOx/SiO2 , SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn ( 0.376 mol) , n.a. ( 0.0 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 775 ºC. The total flow rate was 20 mL/min (Ar: 3.0 mL/min, CH4: 14.6 mL/min, O2: 2.4 mL/min), leading to a contact time of 0.38 s.
2.44;24.0;0.2543;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Mn-Na2WO4/CeO2 , CeO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn ( 0.37 mol) , Na ( 0.37 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 700 ºC. The total flow rate was 15 mL/min (Ar: 10.5 mL/min, CH4: 3.0 mL/min, O2: 1.5 mL/min), leading to a contact time of 0.5 s.
2.44;18.0;0.3967;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Mn-Na2WO4/CeO2 , CeO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn ( 0.37 mol) , Na ( 0.37 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 700 ºC. The total flow rate was 15 mL/min (Ar: 10.5 mL/min, CH4: 3.0 mL/min, O2: 1.5 mL/min), leading to a contact time of 0.5 s.
2.44;30.0;0.1959;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Mn-Na2WO4/CeO2 , CeO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn ( 0.37 mol) , Na ( 0.37 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 700 ºC. The total flow rate was 15 mL/min (Ar: 10.5 mL/min, CH4: 3.0 mL/min, O2: 1.5 mL/min), leading to a contact time of 0.5 s.
2.44;36.0;0.1530;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Mn-Na2WO4/CeO2 , CeO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of Mn ( 0.37 mol) , Na ( 0.37 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 700 ºC. The total flow rate was 15 mL/min (Ar: 10.5 mL/min, CH4: 3.0 mL/min, O2: 1.5 mL/min), leading to a contact time of 0.5 s.
7.64;0.9;0.6528;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Na2WO4/SiO2 , SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of n.a. ( 0.0 mol) , Na ( 0.37 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 14.0 mL/min, CH4: 5.1 mL/min, O2: 0.9 mL/min), leading to a contact time of 0.38 s.
7.64;14.0;0.1789;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Na2WO4/SiO2 , SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of n.a. ( 0.0 mol) , Na ( 0.37 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 14.0 mL/min, CH4: 5.1 mL/min, O2: 0.9 mL/min), leading to a contact time of 0.38 s.
7.64;20.0;0.0287;C2;text-curie-001;0.7;5;1000;multi_NN;0; To synthesize Na2WO4/SiO2 , SiO2 (1.0 g) was impregnated with 4.5 mL of an aqueous solution consiting of n.a. ( 0.0 mol) , Na ( 0.37 mol) , W ( 0.185 mol) , at 50 ºC for 6 h. Once activated the reaction is ran at 900 ºC. The total flow rate was 20 mL/min (Ar: 14.0 mL/min, CH4: 5.1 mL/min, O2: 0.9 mL/min), leading to a contact time of 0.38 s.
