y;yhat;yprobs;data;model;Temperature;k_selected;N_train;model_class;n_tokens;x
-1.575;6.300000000000001;0.6407;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between BaPbO3 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-0.374;6.811999999999999;0.1005;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Pt2Rh2O5 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.207;5.242;1.2109;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Zn(AgO2)2 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.2754;5.112;2.9284;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Cu2WO4 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.57 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.1663;3.988;2.4257;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between TlMo6O17 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.1398;5.408;0.2685;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Rb4CO4 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.93 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.2296;6.392;0.1476;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between SnP2O7 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.8544;0.16;1.7046;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Li(FeO2)3 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.008;4.452;2.1072;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Na2S2O7 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.27 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.3001;1.342;1.1339;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between YbPO4 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-0.2472;2.246;3.6624;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Ca(SO5)2 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.41 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.0488;6.164000000000001;0.8884;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between AlAgO2 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.94 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.7227;6.182;0.5973;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between AgBiO2 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.82 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.2267;6.254;0.5661;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between V2CuO6 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.8197;3.0860000000000003;0.3738;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between KPO4 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.75 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
2.6603;4.45;2.9488;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between YbRe3O16 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.8065;6.718000000000001;0.3873;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Ba3Nb2O8 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.2754;0.76;1.8074;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Yb2Ti2O7 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.1249;4.604000000000001;1.457;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between MoSe2 (Fermi level: 5.67 meV) and Tm2P4O13 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-1.6246;4.5360000000000005;1.3345;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Co9Cu3O16 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-4.1605;1.0140000000000002;0.008;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between CoP2O7 (Fermi level: 5.67 meV) and WS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-3.5234;1.412;2.823;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between CsIn3O5 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.4839;6.812;0.1941;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between V3(OF)4 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-0.237;5.436000000000001;0.9666;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between TiSe2 (Fermi level: 5.67 meV) and NdInO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.2499;5.352;0.8555;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between MoS2 (Fermi level: 5.67 meV) and Pr(MoO3)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
7.8709;4.870000000000001;1.6325;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Fe6O5F7 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.6098;5.5;0.7649;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between MoSe2 (Fermi level: 5.67 meV) and Pd2PbO4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.73 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.721;-0.0879999999999999;1.984;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between NbS2 (Fermi level: 5.67 meV) and Lu(PO3)3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.5247;1.7360000000000002;2.2359;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between NbSe2 (Fermi level: 5.67 meV) and P2W2O11 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.721;6.606000000000001;0.4023;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Nd2GeO5 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.21 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-1.1332;-0.726;0.4808;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between NbS2 (Fermi level: 5.67 meV) and CrCuO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.6043;6.464;0.6037;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Cd2PbO4 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.9969;6.114000000000001;0.9443;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between SnGeO3 (Fermi level: 5.67 meV) and Te2Pd3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.74 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.6134;-0.5840000000000001;0.257;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between V4ZnO8 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-0.5344;3.672;0.9222;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between RbSeO4 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5.08 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-0.1335;6.606;0.2634;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between VS2 (Fermi level: 5.67 meV) and Y2(MoO4)3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.35 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-0.3397;1.6280000000000003;2.2043;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Ba2Zr7O16 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.45 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.3324;5.062;0.9118;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between WS2 (Fermi level: 5.67 meV) and NaUO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.07 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-0.4526;4.814;2.4872;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between WSe2 (Fermi level: 5.67 meV) and Sr5(ReO6)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.39 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.7655;2.676;0.508;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Ba2Ti11O24 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.0647;6.658000000000001;0.3481;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between DySnO3 (Fermi level: 5.67 meV) and Ta3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.8242;6.708000000000001;0.1495;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between PrOF (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.5326;2.108;2.7359;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between MoSe2 (Fermi level: 5.67 meV) and La2CuO4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-0.2408;-0.6160000000000001;0.312;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Ga2NiO4 (Fermi level: 5.67 meV) and ReSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.87 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
0.7608;-0.348;0.3161;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Mg2Mo3O8 (Fermi level: 5.67 meV) and Te2Pt (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
1.5644;4.354;1.8941;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Mn2PO5 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
-0.0845;2.4400000000000004;1.0421;alloy;gpt-3.5-turbo-0125;0.7;5;10;topk;158190;An interface between Ba(NiO2)4 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.17 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.
