y;yhat;yprobs;data;model;Temperature;k_selected;N_train;model_class;n_tokens;x
-2.55;-2.23;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;bromobenzene
-2.55;-2.07;0.8;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;bromobenzene
-4.36;-3.18;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;2,2,3-trimethylbutane
-2.19;-1.82;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3-nitroaniline
-2.35;-1.36;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;ethyl 4-hydroxybenzoate
-2.35;-1.41;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;ethyl 4-hydroxybenzoate
-2.35;-1.33;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;ethyl 4-hydroxybenzoate
-2.35;-1.34;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;ethyl 4-hydroxybenzoate
-2.35;-1.43;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;ethyl 4-hydroxybenzoate
-1.74;-0.74;0.4;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;2-nitrophenol
-1.74;-0.67;0.4;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;2-nitrophenol
-1.74;-0.63;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;2-nitrophenol
-4.92;-2.89;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;1,1,2,3,4,4-hexachlorobuta-1,3-diene
-4.92;-2.82;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;1,1,2,3,4,4-hexachlorobuta-1,3-diene
-4.92;-2.78;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;1,1,2,3,4,4-hexachlorobuta-1,3-diene
-4.92;-2.74;0.4;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;1,1,2,3,4,4-hexachlorobuta-1,3-diene
-0.17;1.46;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;benzene-1,4-diol
-3.85;-3.79;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine
-2.77;-2.64;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;ethylbenzene
-7.2;-7.12;0.6;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene
-7.2;-6.32;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene
-7.2;-6.12;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene
-3.21;-3.19;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;1-bromo-3-chlorobenzene
-0.72;-0.51;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3,3-dimethylbutan-2-one
-0.72;-0.41;0.4;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3,3-dimethylbutan-2-one
-0.72;-0.33;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3,3-dimethylbutan-2-one
-0.72;-0.27;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3,3-dimethylbutan-2-one
0.49;-1.18;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;oxolane
-0.62;-0.27;0.6;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3,3-dimethylbutan-2-ol
-0.62;-0.26;0.4;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3,3-dimethylbutan-2-ol
-0.18;-0.77;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3-methylbutan-2-ol
-4.55;-4.0;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;1-iodonaphthalene
-4.29;-4.17;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;2-ethylnaphthalene
0.64;-1.32;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;2,5-bis(hydroxymethyl)oxolane-2,3,4-triol
-0.876;-1.39;2.0688;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;1,3,7-trimethylpurine-2,6-dione
-5.282;-4.32;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3-hydroxy-13-methyl-9,11,12,14,15,16-hexahydro-6H-cyclopenta[a]phenanthren-17-one
-5.282;-4.25;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3-hydroxy-13-methyl-9,11,12,14,15,16-hexahydro-6H-cyclopenta[a]phenanthren-17-one
-5.282;-4.23;0.2;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;26423;3-hydroxy-13-methyl-9,11,12,14,15,16-hexahydro-6H-cyclopenta[a]phenanthren-17-one
