y;yhat;yprobs;data;model;Temperature;k_selected;N_train;model_class;n_tokens;x
-1.11;2.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;2-methoxypteridine
-3.63;1.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;decan-1-ol
-0.972;6.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;6-amino-5-fluoro-1H-pyrimidin-2-one
-3.01;1.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;nonan-1-ol
-1.98;3.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;octan-3-ol
0.36;3.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;3,4-dimethylpyridine
-6.02;4.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;N-[(4-chlorophenyl)carbamoyl]-2,6-difluorobenzamide
-0.466;4.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;4-methylpteridine
-0.876;1.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;1,3,7-trimethylpurine-2,6-dione
-3.239;2.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;2-N-tert-butyl-4-N-ethyl-6-methoxy-1,3,5-triazine-2,4-diamine
-1.55;2.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;heptan-2-ol
0.1;2.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;2-methylpropan-1-ol
-3.06;2.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;2,4-diazaspiro[5.5]undecane-1,3,5-trione
-0.42;2.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;2-butoxyethanol
-6.9;1.0;2.0413;sol;gpt-3.5-turbo-0125;0.05;1;700;topk;66008;1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene
